Timestamp,Trial,From Position,To Position,Correctness
1745242830.5036058,1,blue,blue,False
1745242835.5076072,2,yellow,yellow,False
1745242840.6176112,3,yellow,yellow,False
1745242845.8456151,4,yellow,yellow,False
1745242851.0156097,5,yellow,yellow,False
1745242856.1186237,6,blue,yellow,True
1745242861.3106089,7,blue,yellow,True
1745242866.33261,8,yellow,blue,True
1745242871.2396052,9,blue,blue,False
1745242876.1316082,10,yellow,blue,True
1745242881.0136073,11,blue,blue,False
1745242885.9415863,12,blue,blue,False
1745242890.862654,13,yellow,blue,True
1745242895.841608,14,yellow,yellow,False
1745242900.9156077,15,yellow,blue,True
1745242905.9636724,16,blue,yellow,True
1745242911.0916727,17,blue,blue,False
1745242916.1276326,18,yellow,yellow,False
1745242921.2776067,19,yellow,yellow,False
1745242926.3356826,20,blue,blue,False
1745242931.210609,21,blue,blue,False
1745242936.260611,22,yellow,yellow,False
1745242941.3656075,23,blue,yellow,True
1745242946.4286075,24,blue,blue,False
1745242951.4496577,25,yellow,yellow,False
1745242956.562672,26,blue,blue,False
1745242961.513688,27,yellow,blue,True
1745242966.5236804,28,blue,yellow,True
1745242971.5666726,29,blue,blue,False
1745242976.5966523,30,blue,yellow,True
1745242981.6516533,31,blue,blue,False
1745242986.673654,32,blue,yellow,True
1745242991.8046882,33,yellow,blue,True
1745242996.7306094,34,yellow,blue,True
1745243001.794678,35,yellow,yellow,False
1745243006.8076584,36,blue,blue,False
1745243011.7686071,37,blue,blue,False
1745243016.7516842,38,blue,blue,False
1745243021.7886136,39,yellow,yellow,False
1745243026.931649,40,yellow,yellow,False
1745243032.1036816,41,blue,yellow,True
1745243037.2833748,42,yellow,yellow,False
1745243042.301368,43,blue,blue,False
1745243047.315666,44,blue,yellow,True
1745243052.3826714,45,blue,blue,False
1745243057.320676,46,yellow,blue,True
1745243062.3306816,47,yellow,yellow,False
1745243067.6436527,48,yellow,yellow,False
1745243072.6956403,49,blue,blue,False
1745243077.694712,50,blue,blue,False
