Timestamp,Trial,Current Position,Intended Position,Correctness,Punishment
1745245845.8956337,1,"(1, 1)","(1, 2)",Correct,No Punishment
1745245847.4348667,1,"(1, 2)","(1, 1)",Incorrect,No Punishment
1745245848.914539,1,"(1, 1)","(2, 1)",Incorrect,No Punishment
1745245850.4636073,1,"(2, 1)","(2, 2)",Correct,No Punishment
1745245851.8129406,1,"(2, 2)","(1, 2)",Correct,No Punishment
1745245853.1605704,1,"(1, 2)","(2, 2)",Incorrect,No Punishment
1745245854.5675554,1,"(2, 2)","(2, 3)",Correct,No Punishment
1745245856.143866,1,"(2, 3)","(1, 3)",Correct,No Punishment
1745245861.1235812,2,"(1, 1)","(1, 2)",Correct,No Punishment
1745245862.6118689,2,"(1, 2)","(1, 3)",Correct,No Punishment
1745245867.53649,3,"(1, 1)","(2, 1)",Incorrect,No Punishment
1745245869.0975084,3,"(2, 1)","(2, 2)",Correct,No Punishment
1745245870.49255,3,"(2, 2)","(2, 3)",Correct,No Punishment
1745245871.9848328,3,"(2, 3)","(1, 3)",Correct,No Punishment
1745245876.923806,4,"(1, 1)","(2, 1)",Incorrect,No Punishment
1745245878.4129395,4,"(2, 1)","(1, 1)",Correct,No Punishment
1745245879.9335122,4,"(1, 1)","(1, 2)",Correct,No Punishment
1745245881.4314675,4,"(1, 2)","(1, 1)",Incorrect,No Punishment
1745245882.959473,4,"(1, 1)","(1, 2)",Correct,No Punishment
1745245884.4235163,4,"(1, 2)","(1, 3)",Correct,No Punishment
1745245889.4708219,5,"(1, 1)","(2, 1)",Incorrect,No Punishment
1745245891.0324461,5,"(2, 1)","(2, 2)",Correct,No Punishment
1745245892.4637809,5,"(2, 2)","(2, 3)",Correct,No Punishment
1745245894.0974646,5,"(2, 3)","(1, 3)",Correct,No Punishment
1745245898.9947705,6,"(1, 1)","(2, 1)",Incorrect,No Punishment
1745245900.428822,6,"(2, 1)","(1, 1)",Correct,No Punishment
1745245901.9375684,6,"(1, 1)","(1, 2)",Correct,No Punishment
1745245903.3025274,6,"(1, 2)","(2, 2)",Incorrect,No Punishment
1745245904.7404616,6,"(2, 2)","(2, 3)",Correct,No Punishment
1745245906.1954863,6,"(2, 3)","(1, 3)",Correct,No Punishment
1745245911.1544158,7,"(1, 1)","(2, 1)",Incorrect,No Punishment
1745245912.5657523,7,"(2, 1)","(3, 1)",Incorrect,Punishment
1745245914.1114702,7,"(3, 1)","(3, 2)",Correct,No Punishment
1745245915.409738,7,"(3, 2)","(2, 2)",Correct,No Punishment
1745245916.8447337,7,"(2, 2)","(2, 3)",Correct,No Punishment
1745245918.4224188,7,"(2, 3)","(1, 3)",Correct,No Punishment
1745245923.3167286,8,"(1, 1)","(2, 1)",Incorrect,No Punishment
1745245924.7571473,8,"(2, 1)","(1, 1)",Correct,No Punishment
1745245926.1814752,8,"(1, 1)","(2, 1)",Incorrect,No Punishment
1745245927.6203868,8,"(2, 1)","(1, 1)",Correct,No Punishment
1745245929.1413357,8,"(1, 1)","(1, 2)",Correct,No Punishment
1745245930.600423,8,"(1, 2)","(1, 3)",Correct,No Punishment
1745245935.5507054,9,"(1, 1)","(2, 1)",Incorrect,No Punishment
1745245936.923361,9,"(2, 1)","(3, 1)",Incorrect,Punishment
1745245938.4733412,9,"(3, 1)","(3, 2)",Correct,No Punishment
1745245939.8857343,9,"(3, 2)","(3, 3)",Correct,No Punishment
1745245941.3259099,9,"(3, 3)","(2, 3)",Correct,No Punishment
1745245942.9195747,9,"(2, 3)","(1, 3)",Correct,No Punishment
1745245947.9137306,10,"(1, 1)","(2, 1)",Incorrect,No Punishment
1745245949.1143556,10,"(2, 1)","(1, 1)",Correct,No Punishment
1745245950.6397197,10,"(1, 1)","(1, 2)",Correct,No Punishment
1745245952.0964532,10,"(1, 2)","(1, 1)",Incorrect,No Punishment
1745245953.6156812,10,"(1, 1)","(1, 2)",Correct,No Punishment
1745245955.0995128,10,"(1, 2)","(1, 3)",Correct,No Punishment
1745245960.029396,11,"(1, 1)","(2, 1)",Incorrect,No Punishment
1745245961.4359076,11,"(2, 1)","(3, 1)",Incorrect,Punishment
1745245962.978406,11,"(3, 1)","(3, 2)",Correct,No Punishment
1745245964.2839456,11,"(3, 2)","(2, 2)",Correct,No Punishment
1745245965.6353326,11,"(2, 2)","(1, 2)",Correct,No Punishment
1745245967.09853,11,"(1, 2)","(1, 3)",Correct,No Punishment
1745245972.1003401,12,"(1, 1)","(1, 2)",Correct,No Punishment
1745245973.3813033,12,"(1, 2)","(2, 2)",Incorrect,No Punishment
1745245974.7236466,12,"(2, 2)","(1, 2)",Correct,No Punishment
1745245976.2252886,12,"(1, 2)","(1, 3)",Correct,No Punishment
